ID|weight
35984B9C3E7CD9A1|4.812552140340716e-06
F9D04BF6D037F8FB|4.812552140340716e-06
B89D5711AFF8C423|4.812552140340716e-06
1C3478AC1522E7E4|4.812552140340716e-06
4D12AA5009064345|4.812552140340716e-06
3E74975BD3F67ADE|4.812552140340716e-06
200CB7A318D959DA|4.812552140340716e-06
80E74C603F31D41C|4.812552140340716e-06
2FC79F1B7379EC1F|4.812552140340716e-06
A4A6D078FB1079E5|4.212051344883557e-05
C30F816B95BB1C6D|4.812552140340716e-06
88663A398F7781A7|4.812552140340716e-06
FB6B4F4CCDDFFFEA|4.0878657654049265e-05
5947DC9E922EB511|4.812552140340716e-06
ADFBF1CE7FDE9B55|4.812552140340716e-06
8A98DACF41305F68|4.812552140340716e-06
F86C5B3B3F284B86|4.812552140340716e-06
A4FD61BD5CAF820C|4.812552140340716e-06
6214D1AC925B6911|4.812552140340716e-06
6B38859DD5AFC494|4.812552140340716e-06
6C5944CDE639B8A9|4.812552140340716e-06
16B5CB5F45AC64BB|4.812552140340716e-06
7AF99D041ECC912C|4.812552140340716e-06
5CE8268CF4D43A1F|4.812552140340716e-06
4CA8A82DB9844632|4.812552140340716e-06
632EAA66DBDE31FC|4.812552140340716e-06
DD1B98482C86D420|4.812552140340716e-06
2AF02EF72FA9CE7A|4.812552140340716e-06
74EA6DB29E0FC30C|4.812552140340716e-06
4579571FCDB66D34|4.812552140340716e-06
86084D6EDE436D3F|4.812552140340716e-06
FE3D01F1E84FE7F7|4.812552140340716e-06
16EB3A38D2598B38|4.812552140340716e-06
52BE954208EF7532|4.812552140340716e-06
E93D7B077EE72405|4.812552140340716e-06
DD71780994CA28B7|4.812552140340716e-06
C7279F99E996F4AC|4.812552140340716e-06
BB583854631D2230|4.0878657654049265e-05
DE1EA141E4F9477B|4.812552140340716e-06
ED2D6F9E1D75477D|4.812552140340716e-06
E60FF000AE6485ED|4.812552140340716e-06
6BE90099AFB8A58A|4.812552140340716e-06
9D63D7C99B45ED29|4.812552140340716e-06
BAA9E1641B70EBA3|4.812552140340716e-06
20BB433615AD41C5|4.812552140340716e-06
3070D9C5591909ED|4.812552140340716e-06
FC1CE5BCB802DC3A|4.812552140340716e-06
8EFBF1F1E570264D|4.812552140340716e-06
DD2738D28B2657A7|4.212051344883557e-05
369D5DD0E2929B10|4.812552140340716e-06
37CD4045D709A210|4.812552140340716e-06
3443CDBA52431196|4.812552140340716e-06
18DA50E0C2EEE059|4.812552140340716e-06
3FFFE95AAE54DAE5|4.812552140340716e-06
4DE6C8EA3D9BF097|4.812552140340716e-06
228D02BFDA3E731F|4.212051344883557e-05
C87662D885366506|4.812552140340716e-06
39D357B55E3A6C|4.812552140340716e-06
57B2DCFF794CB7AB|4.812552140340716e-06
21D1CF32CED6B689|4.812552140340716e-06
B1759889C1BDC064|4.812552140340716e-06
D1A3EA138D49F176|4.212051344883557e-05
4C2E506D12B46CEC|4.812552140340716e-06
457A30A3B290402E|4.812552140340716e-06
37D44AE918F3E042|4.812552140340716e-06
942A38EBBA6DA573|4.812552140340716e-06
A0A6B8FFCDD1DBD3|4.812552140340716e-06
6E23237369EA0E4D|4.812552140340716e-06
4487E2519A4FEC9C|4.812552140340716e-06
D992DE459EB9815A|4.812552140340716e-06
43F8F56D00C877B3|4.812552140340716e-06
DBD2FF41DAC90721|4.812552140340716e-06
C23FA2C1EE3F71FE|5.328976562214177e-05
306C59819B204853|4.812552140340716e-06
DB8AF1E76954ADF1|4.812552140340716e-06
D938EFCFAE679CD4|4.812552140340716e-06
E84A2DB5CDC9DDF8|5.328976562214177e-05
A4B93BCECF8049A9|4.812552140340716e-06
47EFE5971FC20E85|4.812552140340716e-06
B86EBF6247A4190F|4.812552140340716e-06
3483F7DD9318E94B|4.812552140340716e-06
FED46C2540B787EF|4.812552140340716e-06
E8D563B59347B4B1|4.812552140340716e-06
AB0DDB5AFDA2277B|4.812552140340716e-06
9C789C9122BAE5F4|4.812552140340716e-06
